,HSA,hsa_link
127,4353,https://www.genome.jp/pathway/hsa05221
128,5468,https://www.genome.jp/pathway/hsa03320
129,5468,https://www.genome.jp/pathway/hsa04152
130,5468,https://www.genome.jp/pathway/hsa04211
131,5468,https://www.genome.jp/pathway/hsa04380
132,5468,https://www.genome.jp/pathway/hsa04714
133,5468,https://www.genome.jp/pathway/hsa04932
134,5468,https://www.genome.jp/pathway/hsa05016
135,5468,https://www.genome.jp/pathway/hsa05200
136,5468,https://www.genome.jp/pathway/hsa05202
137,5468,https://www.genome.jp/pathway/hsa05216
138,5468,https://www.genome.jp/pathway/hsa05417
139,5742,https://www.genome.jp/pathway/hsa00590
140,5742,https://www.genome.jp/pathway/hsa01100
141,5742,https://www.genome.jp/pathway/hsa04611
142,5742,https://www.genome.jp/pathway/hsa04726
143,5742,https://www.genome.jp/pathway/hsa04923
144,5743,https://www.genome.jp/pathway/hsa00590
145,5743,https://www.genome.jp/pathway/hsa01100
146,5743,https://www.genome.jp/pathway/hsa04064
147,5743,https://www.genome.jp/pathway/hsa04370
148,5743,https://www.genome.jp/pathway/hsa04625
149,5743,https://www.genome.jp/pathway/hsa04657
150,5743,https://www.genome.jp/pathway/hsa04668
151,5743,https://www.genome.jp/pathway/hsa04723
152,5743,https://www.genome.jp/pathway/hsa04726
153,5743,https://www.genome.jp/pathway/hsa04913
154,5743,https://www.genome.jp/pathway/hsa04921
155,5743,https://www.genome.jp/pathway/hsa04923
156,5743,https://www.genome.jp/pathway/hsa05010
157,5743,https://www.genome.jp/pathway/hsa05022
158,5743,https://www.genome.jp/pathway/hsa05140
159,5743,https://www.genome.jp/pathway/hsa05163
160,5743,https://www.genome.jp/pathway/hsa05165
161,5743,https://www.genome.jp/pathway/hsa05167
162,5743,https://www.genome.jp/pathway/hsa05200
163,5743,https://www.genome.jp/pathway/hsa05204
164,5743,https://www.genome.jp/pathway/hsa05206
165,5743,https://www.genome.jp/pathway/hsa05222
166,7298,https://www.genome.jp/pathway/hsa00240
167,7298,https://www.genome.jp/pathway/hsa00670
168,7298,https://www.genome.jp/pathway/hsa01100
169,7298,https://www.genome.jp/pathway/hsa01523
170,1786,https://www.genome.jp/pathway/hsa00270
171,1786,https://www.genome.jp/pathway/hsa01100
172,1786,https://www.genome.jp/pathway/hsa05206
173,1788,https://www.genome.jp/pathway/hsa00270
174,1788,https://www.genome.jp/pathway/hsa01100
175,1788,https://www.genome.jp/pathway/hsa05206
176,1789,https://www.genome.jp/pathway/hsa00270
177,1789,https://www.genome.jp/pathway/hsa01100
178,1789,https://www.genome.jp/pathway/hsa05206
179,5471,https://www.genome.jp/pathway/hsa00230
180,5471,https://www.genome.jp/pathway/hsa00250
181,5471,https://www.genome.jp/pathway/hsa01100
182,3251,https://www.genome.jp/pathway/hsa00230
183,3251,https://www.genome.jp/pathway/hsa00983
184,3251,https://www.genome.jp/pathway/hsa01100
185,7852,https://www.genome.jp/pathway/hsa04020
